都道府県,総人口,総人口(男),総人口(女),日本人口,外国人人口,総面積,可住地面積,県内総生産額,県民取得,民営事業所数,民間事業所従業員数,小学校数,中学校数,高等学校数,小学校教員数,中学校教員数,高等学校教員数,公民館数,図書館数,ＮＰＯ法人認証数,総住宅数,空き家数,コンビニ数,飲食店数,公衆浴場数,一般病院数,薬局数,世帯主の配偶者の収入,消費支出,住居費,光熱・水道費,教育費,大都市圏分類
北海道,5250000,2472000,2778000,5211000,21676,83456.87,22699.23,194301,142696,224718,2165925,999,586,276,19071,11576,10158,381,152,2161,2807200,379800,2194,26585,256,484,2333,73207,334015,27305,27309,9394,1
青森県,1246000,585000,661000,1240000,3447,9644.54,3253.19,44432,31833,58116,498988,269,159,77,4536,3001,2953,246,35,410,592400,88700,404,6744,287,77,619,83166,278356,18537,27837,3841,0
岩手県,1227000,592000,635000,1219000,5017,15278.89,3751.37,46512,34779,58415,525264,304,155,79,4759,2868,2921,176,47,484,579300,93500,398,5668,18,76,605,113215,293157,24850,27129,6573,0
宮城県,2306000,1127000,1179000,2283000,13989,7285.76,3185.91,94639,68388,97974,1006886,381,207,95,7881,4875,4536,439,35,820,1089300,130500,777,9560,7,112,1165,51130,285393,24121,22717,6955,1
秋田県,966000,454000,512000,963000,2914,11636.25,3233.34,35630,26876,48769,413719,191,112,54,3193,2185,2047,342,48,347,445700,60800,309,4704,13,52,521,102944,300312,14661,25743,4394,0
山形県,1078000,520000,558000,1070000,5503,9323.46,2873.29,42670,32206,55778,475435,244,97,61,3921,2311,2462,430,40,435,449000,54200,344,5493,1,54,595,121251,330042,16066,29590,8545,0
福島県,1846000,914000,931000,1831000,8725,13782.76,4230.73,80637,55926,85960,806130,428,227,110,6761,4244,3986,374,68,917,861300,123500,478,8013,10,103,885,114472,290050,17053,25553,4019,0
茨城県,2860000,1427000,1433000,2810000,41310,6095.72,3888.84,138084,95623,115007,1233534,476,228,121,9664,5884,5644,252,64,861,1328900,197200,899,11116,2,153,1294,90255,308563,15978,22431,6529,0
栃木県,1934000,964000,970000,1906000,26494,6408.28,3005.06,91513,66792,86088,878756,350,163,75,6930,4095,3584,188,55,632,926700,160700,608,8797,8,88,909,69361,308051,15581,22034,9706,0
群馬県,1942000,962000,981000,1886000,37126,6362.33,2269.02,89704,65157,90231,900921,309,168,79,6832,4059,3664,222,57,806,949000,158300,606,8585,18,117,914,99575,331409,11422,20367,8812,0
埼玉県,7350000,3668000,3682000,7174000,105203,3798.13,2603.09,234311,224157,240542,2575544,814,448,193,20810,12511,11091,489,172,2144,3384700,346200,1670,24368,45,295,2952,124720,369498,16200,21742,23246,1
千葉県,6259000,3105000,3155000,6141000,90178,5156.7,3533.86,211069,199398,188740,2114259,777,395,182,18436,10801,9785,288,144,1991,3029800,382500,1694,21274,46,255,2471,112425,352524,23198,20927,19252,1
東京都,13921000,6846000,7075000,13405000,378564,2187.5,1422.78,1062382,744732,621671,9005511,1328,803,428,35618,19736,19254,79,398,9150,7671600,809900,4319,79067,522,589,6789,109540,347869,30206,21596,19338,1
神奈川県,9198000,4585000,4613000,8997000,144500,2415.86,1473.84,355898,295540,287942,3464316,887,473,231,26069,14652,12993,162,85,3584,4503500,484700,2373,32898,134,289,3952,69581,324083,23113,21477,15685,1
新潟県,2223000,1078000,1145000,2206000,11567,12583.81,4550.17,89944,65108,112948,1025630,452,230,102,8286,4755,4046,405,79,718,994500,146200,679,10516,26,108,1151,114663,298710,13904,23760,10323,1
富山県,1044000,506000,537000,1026000,10768,4247.61,1842.27,45841,35052,51785,504554,183,78,53,3595,2052,2222,300,57,378,452600,60000,314,4623,82,87,463,108324,314739,13035,25840,8802,0
石川県,1138000,553000,585000,1123000,9308,4185.66,1394.64,46761,33992,59770,541030,204,89,56,4062,2198,2409,290,40,363,535800,77800,334,6131,71,81,536,120232,316250,15940,22207,13977,0
福井県,768000,374000,394000,756000,9448,4189.83,1077.28,33236,25421,41644,377238,196,82,35,3095,1832,1654,207,37,246,325400,45000,238,4058,18,57,304,90800,290464,12243,24883,9089,0
山梨県,811000,397000,414000,798000,11115,4465.37,953.11,34318,24474,42387,366320,177,93,43,3151,1847,1827,282,53,467,422000,90000,280,4501,23,52,455,114971,306085,16718,21662,10919,0
長野県,2049000,1000000,1049000,2016000,26640,13562.23,3248.93,84417,61024,106030,928421,365,195,100,7209,4715,4344,1802,126,994,1007900,197300,587,10643,33,112,978,104488,287194,20126,23588,7203,0
岐阜県,1987000,964000,1022000,1940000,35382,10621.17,2210.63,77689,57207,98527,880780,367,185,81,7280,4229,4079,273,71,749,893900,139800,548,10447,21,86,1040,107562,330205,18816,22270,11658,0
静岡県,3644000,1797000,1847000,3557000,59596,7780.42,2774.74,172775,124537,172031,1712983,509,293,138,11564,6937,6663,64,96,1239,1714700,281600,1111,18008,17,144,1844,105908,314721,17084,21167,7714,1
愛知県,7552000,3780000,3773000,7316000,166150,5165.04,2995.76,402998,277282,309867,3749904,969,440,222,24518,13744,12354,352,98,1978,3481800,393800,2204,35847,85,286,3435,87222,312857,13305,20536,14570,1
三重県,1781000,870000,911000,1736000,31333,5777.27,2064.15,82272,55995,77168,801130,372,168,70,6847,3772,3472,323,47,740,853700,129600,458,7547,32,81,846,97355,306464,15410,19790,9353,0
滋賀県,1414000,699000,715000,1385000,19886,4017.36,1299.57,65332,46466,55262,602600,220,103,56,5513,3113,2783,90,50,589,626000,81200,326,4766,16,50,619,79069,307997,12435,21491,12135,0
京都府,2583000,1234000,1349000,2527000,43949,4613.21,1177.29,107996,78452,113774,1137370,371,190,110,8395,5204,5222,154,68,1351,1338300,171800,652,12920,163,154,1098,54922,261645,8686,20662,12487,1
大阪府,8809000,4227000,4582000,8623000,150890,1898.47,1334.05,400700,280818,392940,4393139,996,519,256,28574,16867,14451,199,147,3487,4680200,709400,1877,47502,485,475,4248,75789,276430,18912,20164,10542,1
兵庫県,5466000,2605000,2861000,5369000,77518,8396.13,2769.54,213288,163220,214169,2203102,754,383,205,18485,10316,9930,283,107,2206,2680900,360200,1189,27547,161,316,2665,55555,277068,11982,17461,12525,1
奈良県,1330000,626000,704000,1319000,8726,3691.09,853.89,36950,35036,46487,434135,202,110,54,4892,2840,2561,364,33,515,617600,87200,235,4377,22,75,567,67079,331530,21951,22665,16884,0
和歌山県,925000,435000,490000,918000,4667,4726.29,1123.35,34733,26431,47247,377605,248,128,47,3914,2280,2119,253,26,388,485200,98400,212,4736,29,75,488,55468,290654,17125,19669,8723,0
鳥取県,556000,266000,290000,551000,3384,3507.28,904.34,18967,14041,25718,230700,118,58,32,2415,1403,1389,175,30,293,256600,39900,154,2604,15,39,274,117313,324079,17658,21726,5735,0
島根県,674000,326000,349000,665000,5371,6707.95,1270.98,24729,17485,34987,290557,200,97,47,3162,1859,1739,196,40,288,314200,48300,189,3011,2,40,330,150233,322972,18742,24954,8320,0
岡山県,1890000,909000,980000,1866000,17309,7113.21,2228.27,78132,54152,79870,820656,389,165,86,7574,4100,3959,401,70,752,916300,142500,482,7157,16,145,842,77503,290903,18861,20653,11895,1
広島県,2804000,1362000,1442000,2761000,34854,8479.58,2298.73,117908,89593,127057,1302074,475,267,130,9771,5513,5253,269,84,797,1430700,215600,753,13302,51,207,1599,86772,304804,16352,21780,10419,1
山口県,1358000,645000,713000,1340000,11512,6113.95,1715.16,64131,45057,61385,577791,303,164,79,5055,3008,2855,170,55,425,719900,126800,390,6040,24,117,802,105951,323190,15423,21938,7907,0
徳島県,728000,347000,381000,723000,3871,4146.67,1016.04,31569,22973,35853,301688,190,88,37,3052,1739,1610,321,28,366,380700,74100,164,3673,24,92,390,120653,309361,14281,21216,10267,0
香川県,956000,464000,492000,945000,6928,1876.53,1004.94,38459,29200,46774,429167,160,76,40,3545,2115,2069,156,30,391,487700,88200,206,4603,18,77,545,114068,297820,17718,20061,7608,0
愛媛県,1339000,634000,705000,1328000,8096,5678.18,1666.01,51498,37391,63310,566761,281,134,66,4820,2808,2795,433,45,492,714300,129800,344,6351,34,122,598,57781,263519,10921,19357,11800,0
高知県,698000,329000,369000,693000,3236,7105.16,1161.29,24295,18915,35366,279196,228,128,46,2969,2080,2011,201,41,338,391600,74600,183,4423,9,113,390,120597,297577,19723,20743,9571,0
福岡県,5104000,2416000,2688000,5039000,47097,4977.24,2763.38,196792,147459,212649,2236269,729,362,164,17711,9903,8456,310,114,1714,2581200,328600,1380,23730,38,398,2902,83143,351513,34372,21330,11720,1
佐賀県,815000,386000,429000,808000,3878,2439.65,1334.59,29452,21665,37479,354733,164,92,46,3414,2120,2039,127,30,385,352100,50500,251,3961,1,87,514,97489,317944,22378,22769,7692,0
長崎県,1327000,624000,702000,1318000,7669,4105.33,1667.97,45758,34812,62028,536782,327,188,79,5401,3273,3117,188,38,502,659500,101500,345,6300,16,121,739,68758,278676,23592,21706,4760,0
熊本県,1748000,825000,922000,1731000,8358,7404.73,2746.96,60596,46134,72144,690992,340,171,73,7080,4059,3727,311,52,749,813700,111900,496,6758,58,173,867,85697,330082,22257,19333,10752,1
大分県,1135000,539000,597000,1123000,8656,6339.71,1795.11,45100,31222,52973,483206,266,130,55,4288,2519,2688,245,33,465,581800,97700,315,5504,152,130,579,77796,293537,22212,19589,6663,0
宮崎県,1073000,505000,568000,1065000,3693,7735.99,1876.14,37629,27082,51475,448050,238,137,52,4265,2758,2600,91,32,443,546400,84200,295,6278,15,120,593,103510,287120,16200,18597,11939,0
鹿児島県,1602000,753000,849000,1589000,5847,9188.78,3288.12,55045,40512,75443,669456,507,226,89,7556,4235,4189,244,63,863,879400,167000,447,7696,271,204,894,72496,295465,20650,19064,8903,0
沖縄県,1453000,715000,738000,1434000,11020,2276.15,1126.57,44141,33893,64285,553619,268,152,64,6615,3823,3535,85,40,482,652600,67900,385,9891,3,78,572,66787,251304,22333,19357,6942,0
